mcc,mcc_ci_low,mcc_ci_high,mcc_fixed_prev,f1,f1_ci_low,f1_ci_high,pr_auc,pr_auc_ci_low,pr_auc_ci_high,prevalence,n,flag_rate,starting_year,strategy,month
0.07044523328725755,0.04002475603635132,0.09985616066626857,0.07873662984445773,0.04013377926421405,0.023019763585793752,0.05623496657846225,0.03236249418075274,0.008062819493918521,0.09687474830850572,0.0004895044487316076,104187,0.005250175165807634,2018,incremental_online,2024-10-01
0.05458698606408524,0.02334632980204709,0.09715043020793433,0.061364704722093745,0.03125,0.013852645734191963,0.05443108750349455,0.013433659699749452,0.007543365243039382,0.035337919568559445,0.0004798652460043873,102112,0.005160999686618615,2018,incremental_online,2024-11-01
0.11341163893126183,0.07861968928381753,0.15254109635027485,0.11858123318722374,0.06968641114982578,0.048125647642074894,0.0942657691348791,0.03494960904840709,0.018676566970679608,0.09148744722648132,0.0005513606459330143,107008,0.0048127242822966505,2018,incremental_online,2024-12-01
0.10253988773824944,0.05356690044576993,0.14857691432315293,0.11166048839288438,0.09285714285714286,0.049762995620101426,0.13480763625765085,0.04640215020097425,0.023294077466116784,0.10101232182655584,0.0007205076807966229,108257,0.0018659301477040745,2018,incremental_online,2025-01-01
0.12447918228453163,0.0892608678505361,0.1570399041862779,0.11141125466178108,0.07105263157894737,0.05029843383894438,0.0892010534818754,0.0371108963053922,0.023065673131591864,0.06130561084096394,0.0006645454911595312,99316,0.006987796528253252,2018,incremental_online,2025-02-01
0.06513252072423209,0.021641069800337615,0.10930103143989955,0.06629439966072814,0.06020066889632107,0.02097902097902098,0.10010736196319021,0.03265618822972495,0.013507786824682677,0.07221549611791801,0.0007847523520020205,110863,0.0019122700991313602,2018,incremental_online,2025-03-01
0.04008320262073565,0.012718167251896685,0.0757125683811033,0.0483298085605911,0.022944550669216062,0.007886106141920096,0.04317670970827356,0.03586320163788747,0.006342512395643325,0.10918884318176775,0.0004070568861998464,108093,0.0044313692838574194,2018,incremental_online,2025-04-01
0.08814125861659845,0.04392140599959585,0.13950469094734785,0.10364133886903122,0.059113300492610835,0.030069576927393107,0.09453974471533734,0.04280060199268992,0.013399130173759823,0.13181915860840002,0.00045543440405068717,111981,0.0031701806556469403,2018,incremental_online,2025-05-01
0.07942226346180757,0.04335108664523105,0.12344587800619482,0.09368285463456619,0.05116279069767442,0.028561368209255533,0.07909774023694603,0.03706325059594134,0.017400102599327037,0.10135670817592606,0.0004444928246158312,110238,0.003456158493441463,2018,incremental_online,2025-06-01
0.12110918841643499,0.0704117525560455,0.15677268537597175,0.12676409668661318,0.0773286467486819,0.04513304188255613,0.09827307955750306,0.04589088176334371,0.019445970500028435,0.09213351594403839,0.00055685585264202,114931,0.004393940712253439,2018,incremental_online,2025-07-01
